,id_product,product,brand,series,price,id_shop,location,storage,cpu,date,sold
0,1,Acer Aspire 5 A514-53,Acer,aspire,7350000.0,tokolaptopid,Jakarta Utara,512 GB,Intel,2021-01-14,8
1,2,Acer Aspire 3 A314-22,Acer,aspire,5555000.0,trinityitzone,Surabaya,256 GB,AMD,2021-01-14,11
2,3,Acer Aspire 3 Slim,Acer,aspire,6299000.0,majumandiricom-1,Medan,256 GB,AMD,2021-01-14,1
3,4,Acer Aspire 5 A514-53,Acer,aspire,7750000.0,rajacomkdr,Kediri,512 GB,Intel,2021-01-14,3
4,5,Acer Aspire 514-53g-52sr With,Acer,aspire,8650000.0,ariekakakoesnadi,Surakarta,,Intel,2021-01-14,4
5,6,Acer Aspire 5 A514-53,Acer,aspire,7399000.0,collinsofficial,Jakarta Pusat,512 GB,Intel,2021-01-14,190
6,7,Acer Aspire 5-a514 I3-1005g1,Acer,aspire,7949000.0,zxcomputer,Jakarta Pusat,512 GB,Intel,2021-01-14,43
7,8,Acer Aspire 3 A314-22,Acer,aspire,5949000.0,protechcom,Jakarta Pusat,256 GB,AMD,2021-01-14,72
8,9,Acer Aspire 3 Slim,Acer,aspire,6799000.0,collinsofficial,Jakarta Pusat,256 GB,AMD,2021-01-14,39
9,10,Acer Aspire 3 Slim,Acer,aspire,5949000.0,collinsofficial,Jakarta Pusat,256 GB,AMD,2021-01-14,106
10,12,Acer Aspire 3 A314-32,Acer,aspire,5999000.0,infonetmanggadua,Jakarta Pusat,256 GB,Intel,2021-01-14,38
11,13,Acer Aspire 3 Slim,Acer,aspire,6999000.0,acerid,Jakarta Pusat,256 GB,AMD,2021-01-14,34
12,14,Acer Aspire 3 Slim,Acer,aspire,5375000.0,collinsofficial,Jakarta Pusat,256 GB,AMD,2021-01-14,15
13,15,Acer Aspire 3 A314-22,Acer,aspire,6699000.0,protechcom,Jakarta Pusat,256 GB,AMD,2021-01-14,16
14,16,Hp Elitebook 8460p Core,Acer,aspire,2550000.0,globaljaya125,Jakarta Utara,,Intel,2021-01-14,5
15,17,Militer Super Tangguh Dell,Acer,aspire,8500000.0,lockstore,Jakarta Pusat,256 GB,Intel,2021-01-14,9
16,18,"Hp 15"" Intel I3",Acer,aspire,7699000.0,maegel-shop,Jakarta Barat,512 GB,Intel,2021-01-14,3
17,19,Lenovo X240 Core I5,Acer,aspire,3399000.0,debbybatavia,Bekasi,,Intel,2021-01-14,555
18,20,Hp Elitebook 725 G3,Acer,aspire,3499000.0,revocomputer,Jakarta Barat,,AMD,2021-01-14,14
19,21,Acer Aspire 5 A514,Acer,aspire,7659000.0,balicircle,Denpasar,512 GB,Intel,2021-01-14,5
20,22,Acer Aspire 5 A514,Acer,aspire,7599000.0,janurtech,Jakarta Utara,512 GB,Intel,2021-01-14,2
21,23,Acer Aspire 3 A314-32,Acer,aspire,5499000.0,acerid,Jakarta Pusat,256 GB,Intel,2021-01-14,5
22,24,Acer Aspire 5 A514-53,Acer,aspire,7299000.0,collinsofficial,Jakarta Pusat,1 TB,Intel,2021-01-14,4
23,25,Acer Aspire 5 A514,Acer,aspire,7240000.0,kinglaptopstore,Jakarta Pusat,512 GB,Intel,2021-01-14,15
24,26,Acer Aspire 3 Slim,Acer,aspire,6899000.0,royalltech,Jakarta Utara,256 GB,AMD,2021-01-14,4
25,27,Acer Aspire 3 A314,Acer,aspire,6700000.0,xtalecomputer,Jakarta Timur,256 GB,AMD,2021-01-14,4
26,28,Acer Aspire 5 A514-53,Acer,aspire,7949000.0,infonetmanggadua,Jakarta Pusat,1 TB,Intel,2021-01-14,3
27,29,Acer Aspire 3 Slim,Acer,aspire,5799000.0,fastkomputer-1,Tangerang,512 GB,AMD,2021-01-14,29
28,30,Acer Aspire 5 A514-53-3852,Acer,aspire,7499000.0,xtalecomputer,Jakarta Timur,512 GB,Intel,2021-01-14,4
29,31,"Hp 240 G7 14""",Acer,aspire,14300000.0,hp,Jakarta Utara,256 GB,Intel,2021-01-14,1
30,32,Dell Latitude E6440 Core,Acer,aspire,3750000.0,fortunelaptop,Jakarta Pusat,,Intel,2021-01-14,11
31,33,Lenovo T440p Core I5,Acer,aspire,3949000.0,debbybatavia,Bekasi,,Intel,2021-01-14,436
32,34,Lenovo Yoga Slim 7i,Acer,aspire,19504000.0,mur4hk0m,Surabaya,1 TB,Intel,2021-01-14,1
33,35,Lenovo Thinkpad X250 -,Acer,aspire,4350000.0,revocomputer,Jakarta Barat,,Intel,2021-01-14,27
34,36,Acer - Aspire 5,Acer,aspire,7600000.0,fazzads,Jakarta Utara,,Intel,2021-01-14,2
35,37,Gaming Acer Aspire 3,Acer,aspire,6100000.0,iphone6kredit,Jakarta Selatan,,AMD,2021-01-14,4
36,38,Acer Aspire A314 Amd,Acer,aspire,4950000.0,tercepath,Jakarta Barat,,AMD,2021-01-14,3
37,39,Acer Aspire 3 Slim,Acer,aspire,5999000.0,mydaysonlineshop,Tangerang,512 GB,,2021-01-14,10
38,40,Acer Aspire 3 Slim,Acer,aspire,7140000.0,auratechnology,Jakarta Pusat,1 TB,AMD,2021-01-14,2
39,41,Gaming Acer Aspire A514-53g,Acer,aspire,8755700.0,zona-gadget,Surabaya,1 TB,Intel,2021-01-14,9
40,42,Acer Aspire 3 A314,Acer,aspire,6899000.0,amd-id,Jakarta Utara,256 GB,AMD,2021-01-14,2
41,43,Acer - Aspire 5,Acer,aspire,7499000.0,myhartono,Surabaya,,Intel,2021-01-14,15
42,44,Acer Aspire 5 A514-53,Acer,aspire,7325000.0,auratechnology,Jakarta Pusat,512 GB,Intel,2021-01-14,10
43,45,Acer Aspire 3 A314,Acer,aspire,6599000.0,toptech,Jakarta Utara,1 TB,AMD,2021-01-14,5
44,1,Acer Aspire 5 A514-53,Acer,aspire,7350000.0,tokolaptopid,Jakarta Utara,512 GB,Intel,2021-01-14,8
45,2,Acer Aspire 3 A314-22,Acer,aspire,5555000.0,trinityitzone,Surabaya,256 GB,AMD,2021-01-14,11
46,3,Acer Aspire 3 Slim,Acer,aspire,6299000.0,majumandiricom-1,Medan,256 GB,AMD,2021-01-14,1
47,4,Acer Aspire 5 A514-53,Acer,aspire,7750000.0,rajacomkdr,Kediri,512 GB,Intel,2021-01-14,3
48,5,Acer Aspire 514-53g-52sr With,Acer,aspire,8650000.0,ariekakakoesnadi,Surakarta,,Intel,2021-01-14,4
49,46,Acer Aspire Thin Aio,Acer,aspire,11720000.0,acerid,Jakarta Pusat,1 TB,Intel,2021-01-14,2
50,47,Acer Aspire 5 A514-52g,Acer,aspire,10289000.0,mimomart,Jakarta Utara,1 TB,Intel,2021-01-14,4
51,48,Acer Aspire 5 A514-53-32h2,Acer,aspire,7750000.0,simply44,Medan,512 GB,Intel,2021-01-14,1
52,49,Acer Aspire 5 A514-53,Acer,aspire,7799000.0,les-infonetambas,Jakarta Selatan,512 GB,Intel,2021-01-14,1
53,50,Acer Aspire 5 Slim,Acer,aspire,13399000.0,acerid,Jakarta Pusat,512 GB,Intel,2021-01-14,5
54,51,Acer Aspire 3 Slim,Acer,aspire,6750000.0,claiy,Bandung,256 GB,AMD,2021-01-14,1
55,52,Acer Aspire 5 A514-53,Acer,aspire,7299000.0,fastkomputer-1,Tangerang,512 GB,Intel,2021-01-14,89
56,53,Acer Aspire 5 A514-52g-71xl,Acer,aspire,13970000.0,dalakuid,Jakarta Pusat,1 TB,Intel,2021-01-14,3
57,54,Acer Aspire 5 A514-53k-3852,Acer,aspire,7499000.0,armadakomputer,Surabaya,512 GB,Intel,2021-01-14,2
58,55,Acer Aspire 3 A314-22,Acer,aspire,7349000.0,les-infonetambas,Jakarta Selatan,256 GB,,2021-01-14,2
59,56,Hp 820 G3 I5gen6,Acer,aspire,5150000.0,pocapoca,Jakarta Barat,256 GB,Intel,2021-01-14,3
60,57,Toshiba Dynabook Portege R732,Acer,aspire,3250000.0,revocomputer,Jakarta Barat,,Intel,2021-01-14,4
61,58,Toshiba B551 Core I5,Acer,aspire,2549000.0,debbybatavia,Bekasi,,Intel,2021-01-14,126
62,59,Dell E5470 Core I5,Acer,aspire,5100000.0,fuzi-games,Kab. Bandung Barat,256 GB,Intel,2021-01-14,1
63,60,Hp Elitebook 725 G3,Acer,aspire,3499000.0,perdanacomputer,Jakarta Barat,,AMD,2021-01-14,2
64,61,Acer Aspire 3 Slim,Acer,aspire,6999000.0,cointechlogy,Tangerang,256 GB,AMD,2021-01-14,16
65,62,Acer Aspire 3 Slim,Acer,aspire,5725000.0,on5hop,Denpasar,256 GB,AMD,2021-01-14,1
66,63,Acer Aspire 3 A314,Acer,aspire,5099000.0,prostorecomputer,Jakarta Utara,1 TB,Intel,2021-01-14,1
67,64,Acer Aspire 5 A514-53g-37jp,Acer,aspire,7999000.0,reinokomputindo,Medan,1 TB,Intel,2021-01-14,1
68,65,Acer Aspire 3 A314,Acer,aspire,3999000.0,orka,Jakarta Utara,1 TB,Intel,2021-01-14,3
