name,price,location,sold,link,date,series,brand
HP ENVY 13-ba1032TX/ba1033TX i7-1165G7 512GB SSD 16GB MX 450 2GB Win10,20.999.000,Jakarta Barat,2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AHOosrfHAnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJFosJ76An7bm-srcHi6sURHmFiy3zwrfo5rM1i6s1dHmdRo_K7bm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-8jhk1_CvzJjp_BzSHjOke_-vzcDa_Bzoq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBoHBud_jP6qBja19zvzOj7_3jFHJ7a_MxHu71O_BPoPJda1MOqzVJO3M2cqjNkgcO-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJNM_920oJNU8AxuHVgUuVu3_Ogc61g1qfziZs-tP7BIuSujQMWX3Vxd6c-JZSoiHfedgjPR8c-I6_oMZIxayp-3QMgU8VzZu3z61B1OuuKFQJYZzSoXy1xCgO29o_-B1fzjgjxd8MzIHcBHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9B68juO_92V8JOEgRxvuJBE_92o8JN_Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBkZ_-6epeO_jzzH1N11_-o8j1F_7zoq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuY0rfuS9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6AzPbm-X9foxQMz2gcV7guYxgIHi6sJObm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEHsrN6_rDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_KNUiFiHpjdomUDUsHN6AyibmU7HAndUBOY?src=search&is_search=1&ob=23&t=desktop&keywords=hp+envy&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fsinarmulia%2Fhp-envy-13-ba1032tx-ba1033tx-i7-1165g7-512gb-ssd-16gb-mx-450-2gb-win10%3Fsrc%3Dtopads&page=1&dv=desktop,14-01-2021,envy,HP
Hp Elitebook 820 G4 i5 7200 8GB Laptop seri bisnis probook envy,5.545.000,Bandung,3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AUaoArF6AnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosJFosJ76An7bm-srcHi6sHdHiFiy3zwrfo5rM1i6sHh6mdNoArfHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9BHqBja_M2gHjNk3_-6qBja_M2gHjNNZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1BE3BzVHVja_M2qepn73M2S81h1192gHju73uz0HuBNHAoqzO20_jzDQ1O9__-6HBB2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p__Jd8jY1gpCMZIxp_3OdPMep8AxizJgpysoj6cgU_sCi17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjjp_jH7o1NJyRB68j7h_uzVHJNk_9x-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqBjp_c2uH7OEu9x68Mrh_Bz-8jYJz_V-QsnYUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdoV7DUMNwyfVXgcBjy9zB9fVjraUEH_1DUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstpopr7oiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AjibmUp6_K7UiFiHpjdoiUDUseFHAKi997?ob=23&src=search&is_search=1&management_type=1&t=desktop&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Farifinzendrall%2Fhp-elitebook-820-g4-i5-7200-8gb-laptop-seri-bisnis-probook-envy%3Fsrc%3Dtopads&keywords=hp+envy&page=1,14-01-2021,envy,HP
"HP 240 G7 Laptop /14""/Corei5-8265U/4GB/IntelHDGraphics620/256GBSSD",14.300.000,Jakarta Utara,1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopUa6ArOHsrDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosJFosJ76An7bm-srcHi6srFHmFiqfuNPfYagVY2gmUEHsJpH_jpo_HDUMVj9RosQR-BUstaoseXo_1RH_1NHA1f6_HFHAyDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1Bd_c2oHjY1gp-o8jVd_92go1YJ392-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjVO_1zg8JOk1_uvucDO_Oz0o1Y1qpuvucW2_JoGP3Uao32q17jfZ326QJO11M2gHjN0_VztQ1YJZ9z6zJNk3uHhqJY1uM2Hucz03MOzHJY939xg8Bjp3MB-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3O7HVKpeMYsQ1gE3Bo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32Cq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81Nk19u6uV1p_uzuo1OJu_-vuJOR_1zgq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUMW79RCtrMVpgZUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUsthoZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHN6AUibmUp6_KNUiFiHpjdomUDUsHN6AyibmU7HAndUBOY?r=https%3A%2F%2Fwww.tokopedia.com%2Fhp%2Fhp-240-g7-laptop-14-corei5-8265u-4gb-intelhdgraphics620-256gbssd%3Fsrc%3Dtopads&keywords=hp+envy&t=desktop&management_type=1&dv=desktop&is_search=1&page=1&ob=23&src=search,14-01-2021,envy,HP
HP Pavilion 15-DK1064TX [i5-10300H/8GB/512GB/RTX2060MAXQ-6GB/W10+OHS],15.850.000,Semarang,1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopHp6A1fH_eDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosJFosJ76An7bm-srcHi6s1FHmFiqfuNPfYagVY2gmUEHsra6_y7oseDUMVj9RosQR-BUstaoAKXoAKfH_UNo_yO6_JdHpyDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BRZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32CP1OJ19268BuR_1zCP7OJe9PozJVR_1zCHJB2PfBiQ_BO3_-uq1Y2Z92quJ1F3_-6qB2AHAzqqMPN_Vzz8Bjaz9zgucDh39jFHO2I3MW6zchW_uPoHjda33BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZS-jzsBRy1xGqcHau3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9P-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqBJ7_c2zoJNkz9BvuV1a_Bz08JYJ__--QsnYUiFiP9oBrBY2gmUEUsnibm-xQcri6i-0PVYFqI-xrf1ibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEH_1DUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6_KaUiFiHpjd6ZUDUsHN6AeibmUp6_KfUiFioAnF6m-Pwe?is_search=1&page=1&ob=23&management_type=1&t=desktop&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2F3gpowercomputer%2Fhp-pavilion-15-dk1064tx-i5-10300h-8gb-512gb-rtx2060maxq-6gb-w10-ohs%3Fsrc%3Dtopads&src=search&keywords=hp+envy,14-01-2021,envy,HP
HP Pavilion Gaming 15-ec1071AX Laptop/Ryzen 7/16GB/NVIDIAGTX1650/512GB,15.399.000,Jakarta Utara,39,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopKd6_r7o_KDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosJFosJ76An7bm-srcHi6syOHmFiy3zwrfo5rM1i6sUNHmdR6_epoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_zR_7zu81OkZ9xoqj1F_7zgoJN113BHe72kgJxGgMHauMxsQ1N5Z325q1O2oIB6qBjp_7z-o1O1z_u6zVVN_1z-HJB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjND_uzZqBja_MWHucxW_7z-PJNJ_M2g1pVt_Oz3qjh1gcWqQuJF_OPg8VBE3_oqq1BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8IoouRxfgAod6c-J_Mg6zJVR_7xd6cHp1Sz-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMPd_c20H1O139xouVBN_7zuoJY1gfBHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B68MoO_jzsH1N1u_Co8BjF_1zCH7ONZsjibm-Orfua9fBjUstiHmUDUMVDgaUEUMVDPVY0g9BRQR-j9fzBgMVOQIeibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEH_1DUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstaopjNoaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpjdHiUDUsHN6AjibmUp6_K7UiFiHpjdoiUDUseFHAKi9ZFiy3h7g9-Xy9zB9fWB89P5rMei6i-trmCFy9g2QcB5Qi-Y?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fhp%2Fhp-pavilion-gaming-15-ec1071ax-laptop-ryzen-7-16gb-nvidiagtx1650-512gb%3Fsrc%3Dtopads&dv=desktop&is_search=1&ob=23&src=search&keywords=hp+envy&page=1&management_type=1,14-01-2021,envy,HP
Laptop HP Envy 15 X360 Touch - AMD Ryzen™ R5 2500 -8GB- 256GB SSD,11.899.000,Jakarta Utara,19,https://www.tokopedia.com/laptopgaming/laptop-hp-envy-15-x360-touch-amd-ryzen-r5-2500-8gb-256gb-ssd?whid=0,14-01-2021,envy,HP
HP Envy 13 X360 Touch Ryzen 7 4800 8GB 512ssd Vega7 W10 13.3FHD,15.099.000,Jakarta Utara,13,https://www.tokopedia.com/mimomart/hp-envy-13-x360-touch-ryzen-7-4800-8gb-512ssd-vega7-w10-13-3fhd?whid=0,14-01-2021,envy,HP
"HP Envy 15 X360 Touch Ryzen 5 4500 8GB 256ssd Vega 8 W10 15.6"" FHD",11.899.000,Jakarta Utara,3,https://www.tokopedia.com/janurtech/hp-envy-15-x360-touch-ryzen-5-4500-8gb-256ssd-vega-8-w10-15-6-fhd?whid=0,14-01-2021,envy,HP
HP ENVY 13-ba1032TX/ba1033TX i7-1165G7 512GB SSD 16GB MX 450 2GB Win10,20.999.000,Jakarta Barat,2,https://www.tokopedia.com/sinarmulia/hp-envy-13-ba1032tx-ba1033tx-i7-1165g7-512gb-ssd-16gb-mx-450-2gb-win10?whid=0,14-01-2021,envy,HP
HP Pavilion ENVY 13 AN0031WM - i3 8145U 8GB 128GB ssd W10 13.3 FHD,7.799.000,Jakarta Utara,24,https://www.tokopedia.com/toptech/hp-pavilion-envy-13-an0031wm-i3-8145u-8gb-128gb-ssd-w10-13-3-fhd-silver?whid=0,14-01-2021,envy,HP
